idstd,id,COVb0,COVb1a,COVb1b,COVb2a,COVb2b,COVb2c,COVb3a,COVb4,COVc3,COVc1,COVc2a,COVc2b,COVc2c,COVc4a,COVc4b,COVc4c,COVc5,COVc6,COVd1,COVd3a,COVd3b,COVd4,COVd6,COVd8,COVe1a,COVe1b,COVe1c,COVe2,COVe3a,COVe3b,COVe3c,COVe4,COVe5,COVf1,COVf2a,COVf2b,COVf2c,COVf2d,COVf2e,COVf2f,COVf2fx,COVg2,COVh1,COVh2a,COVh2b,COVh2c,COVh2d,COVh2e,COVh2f
656265,389,Open,Yes,3,Decrease,,30,100,Does not apply,No,,Decrease,Decrease,Remain the same,Yes,Yes,Yes,30,70,23,Remain the same,Decrease,2,2,0,Decrease,Decrease,Increase,Loans from commercial banks,No,Yes,No,No,No,No,,,,,,,,4,,,,,,,
656266,1219,Open,Yes,2,Decrease,,10,70,Decrease,No,80,Decrease,Remain the same,Remain the same,No,Yes,Yes,40,30,19,Decrease,Decrease,2,2,6,Remain the same,Remain the same,Decrease,,No,Yes,No,Does not apply,No,No,,,,,,,,6,,,,,,,
656267,1060,Open,Yes,2,Decrease,,30,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,60,50,10,Remain the same,Remain the same,,,0,Decrease,Remain the same,Remain the same,Loans from commercial banks,No,No,No,No,No,No,,,,,,,,6,,,,,,,
656268,692,Open,Yes,1,Decrease,,30,80,Decrease,No,70,Decrease,Decrease,Decrease,Yes,Yes,Yes,5,15,22,Remain the same,Decrease,0,0,0,Decrease,Decrease,Decrease,Delaying payments to suppliers or workers,Yes,No,Yes,No,No,No,,,,,,,,1,,,,,,,
656269,587,Open,Yes,6,Decrease,,80,100,Does not apply,No,10,Decrease,Decrease,Decrease,No,No,No,0,0,2,Decrease,Decrease,0,20,0,Decrease,Decrease,Decrease,None of the above,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,0,,,,,,,
656270,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656271,633,Open,Yes,4,Decrease,,40,100,Does not apply,Yes,60,Decrease,Decrease,Decrease,Yes,Yes,No,10,0,45,Decrease,Decrease,4,0,6,Decrease,Decrease,Decrease,Loans from commercial banks,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,,4,,,,,,,
656272,55,Open,Yes,1,Remain the same,,,85,Remain the same,No,80,Decrease,Remain the same,Remain the same,No,Yes,Yes,20,10,23,Remain the same,Remain the same,,,0,Remain the same,Remain the same,Remain the same,,Yes,No,No,No,No,"No, but expect to receive them in the next 3 months",No,No,No,Yes,No,No,,4,,,,,,,
656273,1069,Open,Yes,2,Decrease,,40,100,Does not apply,Yes,50,Decrease,Decrease,Decrease,Yes,Yes,No,30,0,30,Remain the same,Remain the same,,,Does not apply,Decrease,Decrease,Increase,Equity finance,No,No,No,No,No,Yes,No,No,No,No,Yes,No,,4,,,,,,,
656274,232,Open,Yes,2,Decrease,,30,80,Remain the same,Yes,70,Decrease,Increase,Increase,Yes,Yes,Yes,15,4,12,Remain the same,Remain the same,,,0,Remain the same,Decrease,Remain the same,,No,Yes,No,No,No,"No, but expect to receive them in the next 3 months",No,Yes,No,Yes,No,No,,4,,,,,,,
656275,253,Open,Yes,2,Decrease,,40,100,Does not apply,No,,Decrease,Decrease,Remain the same,No,No,Yes,10,2,23,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Decrease,Delaying payments to suppliers or workers,Yes,No,No,Does not apply,No,No,,,,,,,,4,,,,,,,
656276,620,Open,Yes,6,Decrease,,20,100,Does not apply,No,,Increase,Remain the same,Remain the same,No,No,No,Don't know,0,100,Remain the same,Remain the same,,,40,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,12,,,,,,,
656277,919,Open,Yes,2,Decrease,,30,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,40,0,7,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Loans from commercial banks,No,No,No,No,No,No,,,,,,,,4,,,,,,,
656278,1170,Open,Yes,3,Remain the same,,,80,Remain the same,No,,Decrease,Decrease,Remain the same,Yes,Yes,Yes,30,20,22,Remain the same,Remain the same,,,Does not apply,Remain the same,Increase,Decrease,,No,Yes,No,No,No,No,,,,,,,,3,,,,,,,
656279,1178,Open,Yes,3,Decrease,,40,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,60,20,12,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,8,,,,,,,
656280,1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656281,1071,Temporarily closed,,2,Decrease,,12,80,Remain the same,No,,Decrease,Decrease,Decrease,No,Yes,No,15,70,8,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,3,,,,,,,
656282,1131,Open,Yes,2,Decrease,,30,100,Does not apply,No,,Decrease,Decrease,Remain the same,No,Yes,Yes,20,15,55,Decrease,Decrease,24,3,Does not apply,Remain the same,Decrease,Decrease,,No,Yes,No,No,No,No,,,,,,,,3,,,,,,,
656283,1049,Open,No,,Decrease,,50,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,50,50,30,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,Yes,No,No,No,No,No,,,,,,,,4,,,,,,,
656284,195,Temporarily closed,,2,Decrease,,25,100,Does not apply,No,,Decrease,Decrease,Decrease,Yes,Yes,Yes,40,17,3,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Decrease,,No,No,No,No,No,"No, but expect to receive them in the next 3 months",No,No,No,Yes,No,No,,5,,,,,,,
656285,951,Open,Yes,2,Decrease,,80,100,Does not apply,No,,Decrease,Decrease,Decrease,No,No,No,0,0,8,Decrease,Decrease,8,0,8,Decrease,Remain the same,Remain the same,None of the above,No,Yes,No,No,No,No,,,,,,,,2,,,,,,,
656286,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656287,566,Permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closed before COVID-19 outbreak,Yes,No,Yes,No,No,No
656288,231,Open,Yes,2,Decrease,,30,55,Decrease,Yes,,Decrease,Decrease,Remain the same,Yes,Yes,Yes,40,0,11,Remain the same,Remain the same,,,0,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,,4,,,,,,,
656289,689,Open,No,,Increase,10,,100,Does not apply,Yes,,Remain the same,Remain the same,Decrease,Yes,Yes,Yes,20,50,12,Remain the same,Decrease,0,0,0,Increase,Increase,Remain the same,,No,No,No,Does not apply,No,No,,,,,,,,3,,,,,,,
656290,128,Open,No,,Decrease,,30,100,Does not apply,Yes,,Remain the same,Decrease,Decrease,Yes,Yes,Yes,60,0,5,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,4,,,,,,,
656291,99,Permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closed before COVID-19 outbreak,Yes,Yes,Yes,Yes,Yes,No
656292,1319,Open,Yes,2,Decrease,,15,100,Does not apply,No,70,Decrease,Decrease,Remain the same,No,Yes,Yes,10,14,36,Remain the same,Remain the same,,,3,Decrease,Remain the same,Decrease,Delaying payments to suppliers or workers,Yes,No,No,No,No,No,,,,,,,,4,,,,,,,
656293,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656294,1005,Open,Yes,3,Decrease,,20,100,Does not apply,No,80,Remain the same,Decrease,Decrease,Yes,No,No,0,0,7,Remain the same,Decrease,0,0,0,Decrease,Decrease,Remain the same,Delaying payments to suppliers or workers,Yes,No,No,No,No,No,,,,,,,,1,,,,,,,
656295,631,Open,Yes,3,Decrease,,35,70,Decrease,No,70,Decrease,Decrease,Decrease,Yes,No,No,5,0,21,Remain the same,Decrease,0,0,0,Decrease,Decrease,Decrease,Delaying payments to suppliers or workers,Yes,Yes,No,No,No,No,,,,,,,,2,,,,,,,
656296,303,Open,Yes,3,Remain the same,,,100,Does not apply,No,80,Remain the same,Remain the same,Remain the same,Yes,No,Yes,50,60,16,Remain the same,Remain the same,,,Does not apply,Remain the same,Decrease,Decrease,,No,No,No,Does not apply,No,No,,,,,,,,8,,,,,,,
656297,1304,Open,No,,Decrease,,40,70,Remain the same,Yes,,Remain the same,Decrease,Decrease,Yes,Yes,No,30,0,7,Remain the same,Remain the same,,,Does not apply,Decrease,Increase,Remain the same,None of the above,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,4,,,,,,,
656298,1085,Open,No,,Decrease,,30,100,Does not apply,No,,Remain the same,Decrease,Decrease,No,No,No,0,0,17,Remain the same,Decrease,5,0,8,Decrease,Remain the same,Remain the same,Loans from commercial banks,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,8,,,,,,,
656299,20,Open,No,,Decrease,,20,100,Does not apply,Yes,,Remain the same,Remain the same,Remain the same,No,No,No,0,0,15,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,Does not apply,No,No,,,,,,,,4,,,,,,,
656300,344,Open,No,,Decrease,,20,100,Does not apply,Yes,,Remain the same,Decrease,Remain the same,Yes,Yes,No,10,0,7,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,12,,,,,,,
656301,1216,Open,Yes,2,Decrease,,30,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,60,10,15,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Equity finance,No,No,No,No,No,No,,,,,,,,4,,,,,,,
656302,293,Open,No,,Remain the same,,,100,Does not apply,Yes,,Remain the same,Remain the same,Remain the same,No,Yes,No,0,0,11,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,12,,,,,,,
656303,971,Temporarily closed,,8,Decrease,,40,100,Does not apply,No,,Decrease,Decrease,Decrease,Yes,Yes,Yes,40,80,10,Remain the same,Decrease,5,1,5,Decrease,Remain the same,Remain the same,Loands from non-banking financial institutions,Yes,No,No,No,No,No,,,,,,,,2,,,,,,,
656304,485,Open,No,,Decrease,,40,100,Does not apply,Yes,,Remain the same,Decrease,Decrease,Yes,No,Yes,100,50,13,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Equity finance,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,,8,,,,,,,
656305,1229,Open,No,,Remain the same,,,100,Does not apply,Yes,,Remain the same,Remain the same,Remain the same,Yes,No,Yes,100,100,8,Remain the same,Remain the same,,,0,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,12,,,,,,,
656306,1124,Open,No,,Decrease,,30,60,Decrease,Yes,,Decrease,Decrease,Decrease,Yes,Yes,No,10,0,8,Remain the same,Remain the same,,,0,Decrease,Remain the same,Increase,None of the above,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,,4,,,,,,,
656307,847,Open,No,,Decrease,,30,100,Does not apply,Yes,70,Decrease,Decrease,Decrease,Yes,Yes,No,10,10,120,Decrease,Decrease,3,0,3,Decrease,Remain the same,Remain the same,Equity finance,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,,4,,,,,,,
656308,872,Open,No,,Increase,5,,100,Does not apply,No,100,Remain the same,Increase,Remain the same,No,No,Yes,20,5,250,Remain the same,Remain the same,,,0,Increase,Remain the same,Increase,,No,No,No,No,No,No,,,,,,,,4,,,,,,,
656309,291,Open,Yes,1,Remain the same,,,100,Does not apply,Yes,90,Remain the same,Remain the same,Remain the same,Yes,Yes,Yes,15,5,450,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,3,,,,,,,
656310,1285,Open,Yes,4,Decrease,,50,100,Does not apply,Yes,50,Decrease,Decrease,Decrease,Yes,Yes,No,30,0,11,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Equity finance,No,No,No,No,No,No,,,,,,,,4,,,,,,,
656311,1117,Open,Yes,4,Decrease,,40,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,30,0,12,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Loans from commercial banks,No,No,No,No,No,No,,,,,,,,4,,,,,,,
656312,655,Open,Yes,2,Remain the same,,,100,Does not apply,Yes,90,Remain the same,Remain the same,Decrease,Yes,Yes,Yes,30,15,12,Remain the same,Decrease,0,0,0,Remain the same,Increase,Increase,,No,No,No,Does not apply,No,No,,,,,,,,3,,,,,,,
656313,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656314,83,Open,No,,Remain the same,,,100,Does not apply,Yes,90,Remain the same,Remain the same,Remain the same,No,No,No,0,0,14,Remain the same,Remain the same,,,0,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,12,,,,,,,
656315,211,Open,Yes,1,Decrease,,40,100,Does not apply,Yes,60,Decrease,Decrease,Decrease,Yes,Yes,Yes,50,20,22,Remain the same,Remain the same,,,0,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,8,,,,,,,
656316,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656317,300,Open,Yes,1,Decrease,,50,100,Does not apply,Yes,50,Decrease,Decrease,Decrease,Yes,Yes,No,20,0,12,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Loans from commercial banks,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,4,,,,,,,
656318,761,Permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closed before COVID-19 outbreak,Yes,Yes,Yes,Yes,Yes,Yes
656319,545,Open,No,,Decrease,,10,100,Does not apply,Yes,,Remain the same,Decrease,Remain the same,No,No,No,0,0,7,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,12,,,,,,,
656320,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656321,849,Permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closed before COVID-19 outbreak,No,No,No,Yes,No,No
656322,22,Open,No,,Decrease,,35,70,Remain the same,Yes,60,Remain the same,Decrease,Decrease,Yes,No,Yes,10,0,47,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Equity finance,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,4,,,,,,,
656323,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656324,1130,Open,No,,Decrease,,30,100,Does not apply,Yes,70,Remain the same,Decrease,Decrease,No,No,No,0,0,26,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Equity finance,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,4,,,,,,,
656325,274,Open,No,,Decrease,,40,60,Remain the same,Yes,60,Decrease,Decrease,Decrease,No,No,No,10,0,56,Remain the same,Remain the same,,,Does not apply,Decrease,Increase,Increase,Loans from commercial banks,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,4,,,,,,,
656326,1101,Open,Yes,8,Decrease,,30,100,Does not apply,Yes,20,Decrease,Decrease,Don't know,Yes,Yes,Yes,20,10,20,Remain the same,Remain the same,,,5,Decrease,Increase,Decrease,Delaying payments to suppliers or workers,Yes,Yes,No,No,No,"No, but expect to receive them in the next 3 months",No,Yes,No,No,Yes,No,,Don't know,,,,,,,
656327,207,Open,Yes,2,Decrease,,40,80,Remain the same,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,30,10,30,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Equity finance,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,,8,,,,,,,
656328,77,Open,Yes,2,Decrease,,40,100,Does not apply,Yes,,Remain the same,Decrease,Decrease,Yes,Yes,No,60,0,25,Remain the same,Remain the same,,,Does not apply,Decrease,Increase,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,4,,,,,,,
656329,1135,Open,Yes,4,Decrease,,40,100,Does not apply,Yes,,Remain the same,Decrease,Decrease,Yes,Yes,Yes,30,0,15,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,,4,,,,,,,
656330,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656331,390,Open,Yes,4,Decrease,,30,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,No,80,0,20,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,Yes,No,No,No,No,No,,,,,,,,4,,,,,,,
656332,745,Open,Yes,4,Decrease,,40,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,60,50,15,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,4,,,,,,,
656333,94,Open,Yes,2,Decrease,,15,100,Does not apply,Yes,,Decrease,Decrease,Remain the same,No,No,Yes,10,20,35,Decrease,Remain the same,10,3,Does not apply,Decrease,Remain the same,Increase,None of the above,No,Yes,No,No,No,"No, but expect to receive them in the next 3 months",No,Yes,No,No,No,No,,2,,,,,,,
656334,903,Open,No,,Decrease,,20,100,Decrease,No,,Decrease,Decrease,Decrease,Yes,Yes,No,0,0,12,Remain the same,Decrease,0,0,0,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,Yes,No,No,No,No,No,,,,,,,,2,,,,,,,
656335,429,Open,Yes,2,Remain the same,,,100,Does not apply,Yes,,Remain the same,Remain the same,Remain the same,No,Yes,Yes,10,5,100,Remain the same,Decrease,20,0,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656336,1182,Open,No,,Remain the same,,,100,Does not apply,No,,Remain the same,Remain the same,Remain the same,No,No,No,Don't know,0,130,Remain the same,Remain the same,,,Does not apply,Remain the same,Increase,Remain the same,,No,No,No,Does not apply,No,No,,,,,,,,6,,,,,,,
656337,544,Open,Yes,3,Decrease,,40,100,Does not apply,No,,Remain the same,Decrease,Remain the same,No,No,Yes,15,100,25,Remain the same,Decrease,5,0,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,Does not apply,No,No,,,,,,,,5,,,,,,,
656338,267,Open,Yes,3,Remain the same,,,100,Does not apply,No,,Remain the same,Remain the same,Remain the same,No,No,Yes,10,40,300,Remain the same,Decrease,30,0,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,12,,,,,,,
656339,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656340,649,Open,Yes,2,Decrease,,20,100,Does not apply,No,,Remain the same,Decrease,Decrease,Yes,No,No,0,0,7,Remain the same,Decrease,0,0,0,Decrease,Decrease,Decrease,None of the above,No,No,No,Does not apply,No,No,,,,,,,,2,,,,,,,
656341,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656342,35,Open,No,,Remain the same,,,100,Does not apply,Yes,,Remain the same,Remain the same,Remain the same,No,No,No,0,0,6,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,12,,,,,,,
656343,781,Open,Yes,2,Decrease,,15,100,Does not apply,No,,Decrease,Decrease,Decrease,Yes,Yes,Yes,25,30,23,Remain the same,Decrease,0,0,0,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,2,,,,,,,
656344,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656345,480,Open,No,,Remain the same,,,100,Does not apply,No,,Increase,Remain the same,Don't know,Yes,No,Yes,Don't know,80,10,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656346,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656347,1223,Open,Yes,4,Decrease,,60,100,Does not apply,Yes,50,Decrease,Decrease,Decrease,Yes,Yes,Yes,40,0,6,Remain the same,Remain the same,,,6,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,,0,,,,,,,
656348,1323,Open,No,,Remain the same,,,100,Does not apply,Yes,100,Remain the same,Remain the same,Remain the same,No,No,No,0,0,21,Remain the same,Remain the same,,,0,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,12,,,,,,,
656349,455,Open,Yes,4,Decrease,,60,100,Does not apply,No,70,Decrease,Remain the same,Remain the same,No,Yes,Yes,30,50,11,Remain the same,Remain the same,,,0,Decrease,Decrease,Decrease,Delaying payments to suppliers or workers,Yes,No,No,No,No,No,,,,,,,,4,,,,,,,
656350,645,Open,Yes,2,Remain the same,,,100,Does not apply,No,100,Remain the same,Remain the same,Remain the same,Yes,Yes,Yes,40,20,137,Remain the same,Remain the same,,,0,Increase,Remain the same,Remain the same,,No,No,No,Does not apply,No,No,,,,,,,,3,,,,,,,
656351,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656352,929,Open,Yes,2,Decrease,,15,100,Does not apply,Yes,90,Decrease,Decrease,Decrease,Yes,Yes,No,15,0,34,Remain the same,Decrease,10,0,0,Decrease,Decrease,Remain the same,Equity finance,Yes,No,No,No,No,No,,,,,,,,2,,,,,,,
656353,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656354,53,Open,Yes,2,Decrease,,50,100,Does not apply,No,,Decrease,Decrease,Decrease,No,No,No,0,0,7,Remain the same,Remain the same,,,Does not apply,Decrease,Decrease,Decrease,None of the above,No,No,No,Does not apply,No,No,,,,,,,,6,,,,,,,
656355,486,Open,Yes,4,Decrease,,30,100,Does not apply,No,,Decrease,Decrease,Remain the same,Yes,No,Yes,10,5,27,Remain the same,Remain the same,,,Does not apply,Decrease,Decrease,Decrease,None of the above,Yes,No,No,Does not apply,No,No,,,,,,,,6,,,,,,,
656356,366,Open,Yes,2,Decrease,,40,100,Does not apply,Yes,60,Decrease,Decrease,Decrease,Yes,Yes,No,60,0,20,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,8,,,,,,,
656357,530,Open,No,,Decrease,,40,100,Does not apply,Yes,70,Remain the same,Decrease,Decrease,Yes,Yes,No,60,0,25,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Equity finance,No,No,No,Does not apply,No,No,,,,,,,,4,,,,,,,
656358,672,Open,No,,Decrease,,30,100,Does not apply,Yes,,Decrease,Decrease,Decrease,No,No,No,0,0,111,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,Yes,No,No,No,Yes,No,No,,4,,,,,,,
656359,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656360,1278,Open,Yes,4,Decrease,,40,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,No,20,0,11,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,,4,,,,,,,
656361,1109,Open,No,,Remain the same,,,100,Does not apply,Yes,,Remain the same,Remain the same,Remain the same,Yes,Yes,No,30,0,27,Remain the same,Remain the same,,,0,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,12,,,,,,,
656362,1198,Open,No,,Remain the same,,,100,Does not apply,Yes,,Remain the same,Remain the same,Remain the same,No,Yes,No,0,0,47,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,,12,,,,,,,
656363,1158,Open,No,,Remain the same,,,100,Does not apply,Yes,,Remain the same,Remain the same,Remain the same,Yes,No,Yes,80,70,12,Remain the same,Remain the same,,,0,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,12,,,,,,,
656364,212,Open,Yes,4,Decrease,,40,100,Does not apply,No,,Decrease,Remain the same,Remain the same,Yes,Yes,Yes,15,20,6,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Decrease,None of the above,No,No,No,Does not apply,No,No,,,,,,,,4,,,,,,,
656365,191,Open,Yes,8,Decrease,,40,100,Does not apply,Yes,60,Decrease,Decrease,Decrease,Yes,Yes,Yes,90,20,11,Remain the same,Remain the same,,,5,Decrease,Remain the same,Remain the same,Loans from commercial banks,Yes,Yes,No,Yes,No,No,,,,,,,,4,,,,,,,
656366,43,Open,No,,Remain the same,,,100,Does not apply,Yes,80,Remain the same,Remain the same,Remain the same,Yes,Yes,Yes,40,50,21,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,8,,,,,,,
656367,591,Open,Yes,5,Decrease,,35,100,Does not apply,No,50,Remain the same,Decrease,Decrease,Yes,Yes,Yes,50,70,23,Remain the same,Decrease,5,0,0,Remain the same,Decrease,Decrease,,No,Yes,No,Does not apply,No,No,,,,,,,,0,,,,,,,
656368,352,Open,Yes,4,Decrease,,20,100,Does not apply,Yes,60,Decrease,Decrease,Decrease,Yes,Yes,Yes,30,20,84,Decrease,Remain the same,15,0,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,"No, but expect to receive them in the next 3 months",No,No,No,Yes,No,No,,8,,,,,,,
656369,806,Open,Yes,3,Remain the same,,,100,Does not apply,No,80,Remain the same,Remain the same,Remain the same,No,No,No,0,0,115,Remain the same,Remain the same,,,50,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,7,,,,,,,
656370,1164,Open,Yes,8,Decrease,,35,100,Does not apply,Yes,40,Decrease,Decrease,Decrease,No,No,Yes,Don't know,0,120,Remain the same,Don't know,,,Does not apply,Decrease,Remain the same,Don't know,Loans from commercial banks,Yes,No,No,Yes,No,No,,,,,,,,Don't know,,,,,,,
656371,1007,Open,Yes,2,Decrease,,15,100,Does not apply,Yes,80,Remain the same,Decrease,Decrease,Yes,Yes,No,25,0,10,Remain the same,Decrease,0,0,0,Remain the same,Decrease,Remain the same,,No,No,No,Does not apply,No,No,,,,,,,,3,,,,,,,
656372,1132,Open,Yes,2,Decrease,,30,100,Does not apply,No,80,Decrease,Decrease,Decrease,Yes,Yes,Yes,20,0,8,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,Yes,No,No,No,No,No,,,,,,,,4,,,,,,,
