idstd,panelid,year,b1,b2c,b3,b5,b8,c22b,d12a,d1a1x,d1a3,d2,d3a,f1,f2,g5a,g5b,g5bx,g6a,h1,k1c,k2c,k4,k5a,k5f,k5i,k6,k7,k8,l1,l11a,l11b,l6,l8,n2a,n2b,n2e,n2f,n2i,n3,n5a,n5b,n7a,a17,_2012_2019_BMd1a,_2012_2019_BMd1b,_2012_2019_e2b,_2012_2019_h5,_2012_2019_BMh1,_2012_2019_BMh2,_2012_2019_BMh3,_2012_2019_h9,_2012_2019_g1a,_2012_2019_k3a,_2012_2019_k3bc,_2012_2019_k3e,_2012_2019_k3f,_2012_2019_BMk3hd,_2012_2019_k5bc,_2012_2019_k5e,_2012_2019_BMk5hdj,_2019_d1a1a,_2019_h8,_2019_BMk3a,_2019_BMk3b,_2019_k5a1,_2019_k5bc1,_2019_k5i1,_2019_k5e1,_2019_k5f1,_2019_BMk5a,_2019_BMk5a1,_2019_BMk5b,_2019_BMk5b1,_2019_BMk5hdj1,_2019_BMl1a,_2019_l11a1,_2019_l11b1,_2019_n2p
656373,516900,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2006,No,No,100,"Wholesale Trade Of Motor Fuel, Including Aviation Gasoline",85,420000000,100,,,,,,100,No,0,0,Yes,100,0,0,Yes,No,No,15,,,No full-time seasonal or temporary workers,,13500000,400000,,Don't know (spontaneous),,400000000,500000,0,,Are estimates computed with some precision,Increase,5,Too many to count,No,No,No,No,,100,100,0,0,0,0,0,0,0,Wholesale trade of,,0,0,,,,,,0,,0,,,,,,
656374,516902,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2012,No,Yes,100,"Wholesale Trade Of Wood, Construction Materials",90,104000000,100,,,,,,0,No,0,0,No,,,,Yes,No,No,18,,,No full-time seasonal or temporary workers,,10800000,500000,,Don't know (spontaneous),,65000000,,,,Are estimates computed with some precision,Increase,5,Too many to count,No,No,No,No,,0,100,0,0,0,0,,,,Wholesale trade of,,0,0,,,,,,,,,,,,,,
656375,516904,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2009,No,Yes,90,"Production Of Electrical Protective Equipment (Portable Grounding, Voltage Indicators, Insulating Rods)",90,8500000,90,85,50,,,,0,No,15,10,No,,,,Yes,No,No,24,,,No full-time seasonal or temporary workers,,6000000,40000,2000000,Don't know (spontaneous),,6500000,,,13000000,Are estimates computed with some precision,Increase,2,Too many to count,No,No,No,No,,0,80,15,0,5,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,85,,,8040000
656376,516905,2019,Shareholding company with non-traded shares or shares traded privately,0,60,1994,No,Yes,100,Chemical Reagent Production,85,375000000,90,95,50,,,,100,No,0,15,Yes,100,0,0,Yes,No,No,37,,,No full-time seasonal or temporary workers,,22200000,60000,24000000,Don't know (spontaneous),,216000000,3200000,0,31000000,Are estimates computed with some precision,Increase,7,Too many to count,No,No,No,No,,100,100,0,0,0,0,0,0,0,Manufacturing of ,,0,0,,,,,,0,,0,,,80,,,46260000
656377,516908,2019,Shareholding company with non-traded shares or shares traded privately,0,50,2014,No,Yes,Don't know (spontaneous),Manufacture Of Frozen Meat Semi-Finished Products,80,50000000,100,65,96,,,,100,No,80,80,Yes,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Yes,No,No,93,No employees trained,50,No full-time seasonal or temporary workers,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,45000000,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Are estimates computed with some precision,Stay the same,,14,No,Yes,Yes,Yes,Don't know (spontaneous),100,50,50,0,0,0,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Manufacturing of ,Yes,0,0,,,,,,Don't know (spontaneous),,Don't know (spontaneous),,,Don't know (spontaneous),,,Don't know (spontaneous)
656378,516915,2019,Shareholding company with non-traded shares or shares traded privately,0,91,1992,No,No,100,"Retailing Hardware, Paints And Glass",95,2100000,100,,,120,Square Meters,,0,No,15,10,No,,,,Yes,No,Yes,12,,,No full-time seasonal or temporary workers,,1900000,100000,,Don't know (spontaneous),Don't know (spontaneous),1427000,,,,Are estimates computed with some precision,Increase,1,Too many to count,No,No,No,No,,0,70,20,0,10,0,,,,Retail trade of,,0,0,,,,,,,,,,,,,,
656379,516919,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2004,No,Yes,100,"Retail Sale Of Various Household Utensils, Cutlery, Crockery, Glassware And Ceramics, Including Porcelain And Earthenware",85,1370000000,100,,,300,Square Meters,,100,No,0,0,No,,,,Yes,No,No,75,,,No full-time seasonal or temporary workers,,45000000,400000,,Don't know (spontaneous),11500000,907000000,,,,Are estimates computed with some precision,Increase,3,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),100,0,0,0,0,,,,Retail trade of,,0,0,,,,,,,,,,,70,,,
656380,516920,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2002,No,Yes,100,Retail Trade Of Meat Products,100,245000000,100,,,110,Square Meters,,0,No,25,10,No,,,,Yes,No,Yes,102,,,No full-time seasonal or temporary workers,,54000000,845000,,950000,140000000,253000000,,,,Are taken directly from establishment records,Increase,Don't know (spontaneous),Too many to count,No,No,No,Yes,140000,0,70,30,0,0,0,,,,Retail trade of,Yes,0,0,,,,,,,,,,,50,,,
656381,516928,2019,Shareholding company with non-traded shares or shares traded privately,0,50,Don't know (spontaneous),No,Yes,90,Cafe Activity,80,15000000,100,,,,,,0,No,30,0,No,,,,Yes,No,No,25,,,30,5,7000000,73000,,Don't know (spontaneous),,Establishment was not in business in Fiscal Year,,,,Are estimates computed with some precision,Increase,10,20,No,No,No,No,,0,100,0,0,0,0,,,,Hotel or restaurant,,0,0,,,,,,,,,,,90,,,
656382,516935,2019,Shareholding company with non-traded shares or shares traded privately,0,100,1999,No,No,100,Production Of Women'S And Men'S Leather Shoes,95,102000000,100,90,50,,,,100,No,0,10,No,,,,Yes,No,No,6,,,No full-time seasonal or temporary workers,,3180000,800000,2200000,Don't know (spontaneous),,98000000,,,4300000,Are estimates computed with some precision,Increase,5,Too many to count,No,No,No,No,,100,100,0,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,,,,6180000
656383,516952,2019,Shareholding company with non-traded shares or shares traded privately,0,75,2005,No,Yes,100,Production Of Plastic Products Used In Construction,90,768000000,100,90,48,,,,0,No,0,5,No,,,,Yes,No,No,39,,,No full-time seasonal or temporary workers,,23400000,50000,21800000,Don't know (spontaneous),,488000000,,,18350000,Are estimates computed with some precision,Increase,5,Too many to count,No,No,No,No,,0,100,0,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,70,,,45250000
656384,516962,2019,Shareholding company with non-traded shares or shares traded privately,0,50,2005,No,Yes,30,Production Of Machinery And Equipment For Agriculture And Forestry,100,150000000,100,70,40,,,,100,No,40,50,Yes,50,20,0,Yes,Don't know (spontaneous),Yes,18,No employees trained,50,No full-time seasonal or temporary workers,,6000000,Don't know (spontaneous),60000000,Don't know (spontaneous),,130000000,Don't know (spontaneous),Don't know (spontaneous),50000000,Are taken directly from establishment records,Increase,10,4,No,Yes,Yes,Yes,Don't know (spontaneous),100,40,40,0,20,0,30,0,0,Manufacturing of ,Yes,0,0,,,,,,0,,0,,,65,,,Don't know (spontaneous)
656386,516984,2019,Shareholding company with non-traded shares or shares traded privately,0,100,1992,No,Yes,90,"Design Of Office And Residential Premises, Construction And Decoration Of Premises",100,350000000,100,,,,,,100,No,25,0,No,,,,Yes,No,No,256,,,No full-time seasonal or temporary workers,,Don't know (spontaneous),250000,,Don't know (spontaneous),,280000000,,,,Are taken directly from establishment records,Stay the same,,Too many to count,No,No,No,No,,100,100,0,0,0,0,,,,Construction of,,0,0,,,,,,,,,,,,,,
656388,517015,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2011,No,No,65,Wholesale Of Office Supplies,40,50000000,100,,,,,,0,No,30,70,No,,,,Yes,Yes,Yes,21,,,No full-time seasonal or temporary workers,,14000000,150000,,Don't know (spontaneous),,45000000,,,,Are in some case taken from books and in some case estimates,Increase,15,11,No,No,No,No,,Does not apply is a floor in a building (spontaneous),70,30,0,0,0,,,,Wholesale trade of,,0,0,,,,,,,,,,,30,,,
656389,517024,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2016,No,No,50,Retail Trade In Household Chemicals,100,1000000,100,,,70,Square Meters,,0,No,20,0,No,,,,Yes,No,No,5,,,1,One month or less,800000,Don't know (spontaneous),,Don't know (spontaneous),100000,Establishment was not in business in Fiscal Year,,,,Are estimates computed with some precision,Decrease,5,5,No,No,No,No,,Does not apply is a floor in a building (spontaneous),50,0,40,10,0,,,,Retail trade of,,0,0,,,,,,,,,,,90,,,
656390,517059,2019,Shareholding company with non-traded shares or shares traded privately,0,33,1998,No,Yes,100,Production Of Refined Vegetable Oils,90,38000000,100,90,48,,,,100,No,0,0,Yes,50,50,0,Yes,No,No,9,,,No full-time seasonal or temporary workers,,6000000,1200000,3000000,Don't know (spontaneous),,41000000,2000000,0,5000000,Are estimates computed with some precision,Stay the same,,2,No,No,No,No,,100,60,0,0,40,0,0,0,0,Manufacturing of ,,0,0,,,,,,0,,0,,,70,,,11000000
656391,517061,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2008,No,Yes,100,"Production Of Distilled Drinking Alcoholic Beverages: Vodka, Whiskey, Brandy, Gin, Liqueurs, Etc.",95,16000000,100,90,48,,,,0,No,10,10,No,,,,Yes,No,No,28,,,No full-time seasonal or temporary workers,,8400000,30000,5000000,Don't know (spontaneous),,12000000,,,25000000,Are estimates computed with some precision,Increase,5,Too many to count,No,No,No,No,,0,80,10,0,10,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,70,,,13430000
656392,517062,2019,Shareholding company with non-traded shares or shares traded privately,0,98,1996,No,Yes,100,Ice Cream Production,100,465000000,100,Don't know (spontaneous),40,,,,0,Yes,Don't know (spontaneous),Don't know (spontaneous),No,,,,Yes,Yes,Yes,110,,,Don't know (spontaneous),,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,505000000,,,Don't know (spontaneous),Are estimates computed with some precision,Don't know (spontaneous),,Don't know (spontaneous),No,No,No,No,,0,40,30,30,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,50,,,Don't know (spontaneous)
656393,517066,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2007,No,Yes,100,"Retail Sale Of Books, Magazines, Newspapers",90,7950000,100,,,100,Square Meters,,0,No,5,0,No,,,,Yes,No,No,21,,,No full-time seasonal or temporary workers,,6800000,25000,,0,1000000,7400000,,,,Are estimates computed with some precision,Increase,1,Too many to count,No,No,No,No,,0,100,0,0,0,0,,,,Retail trade of,,0,0,,,,,,,,,,,70,,,
656394,517068,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2010,No,No,50,"Production Of Printed Products - Brochures, Booklets, Print Advertising",100,85000000,100,100,168,,,,100,No,0,0,No,,,,Yes,No,No,26,,,No full-time seasonal or temporary workers,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,70000000,,,Don't know (spontaneous),Are estimates computed with some precision,Increase,10,10,No,No,No,No,,100,100,0,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,20,,,Don't know (spontaneous)
656395,517069,2019,Shareholding company with non-traded shares or shares traded privately,0,40,2015,No,Yes,100,Glue Production,95,192000000,90,90,50,,,,0,No,0,5,Yes,100,0,0,Yes,No,No,32,,,No full-time seasonal or temporary workers,,13440000,30000,9000000,Don't know (spontaneous),,156000000,800000,0,11500000,Are estimates computed with some precision,Increase,10,5,No,No,No,No,,0,100,0,0,0,0,0,0,0,Manufacturing of ,,0,0,,,,,,0,,0,,,70,,,22470000
656396,517070,2019,Shareholding company with non-traded shares or shares traded privately,0,100,1991,Yes,Yes,70,Production Of Medicines,100,965000000,100,100,24,,,,0,Yes,15,Don't know (spontaneous),Yes,100,0,0,Yes,Yes,No,120,,,No full-time seasonal or temporary workers,,270000000,Don't know (spontaneous),Don't know (spontaneous),1000000,,940000000,500000,Don't know (spontaneous),70000000000,Are in some case taken from books and in some case estimates,Decrease,Don't know (spontaneous),Don't know (spontaneous),No,No,No,No,,0,100,0,0,0,0,0,0,0,Manufacturing of ,,0,0,,,,,,0,,0,,,90,,,Don't know (spontaneous)
656397,517075,2019,Shareholding company with non-traded shares or shares traded privately,0,51,2006,No,Yes,100,Production Of Dry Concrete Mixes,80,220000000,100,90,48,,,,100,No,0,0,No,,,,Yes,No,No,28,,,No full-time seasonal or temporary workers,,18600000,2700000,5600000,1070000,,148000000,,,7000000,Are estimates computed with some precision,Increase,15,3,No,No,No,No,,100,100,0,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,60,,,33000000
656398,517080,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2013,No,Yes,100,"Production Of Metal Sheds, Gates, Fences, Fences, Stairs",80,26000000,100,90,48,,,,100,No,20,30,No,,,,Yes,No,No,13,,,No full-time seasonal or temporary workers,,8000000,1400000,6000000,Don't know (spontaneous),,24000000,,,6000000,Are estimates computed with some precision,Increase,20,4,No,No,No,No,,100,80,0,0,20,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,60,,,18000000
656399,517082,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2001,No,Yes,100,Production Of Fences And Railings Made Of Stainless Steel,80,35000000,100,90,48,,,,100,No,0,30,No,,,,Yes,No,No,10,,,No full-time seasonal or temporary workers,,7000000,2400000,10000000,Don't know (spontaneous),,20000000,,,6000000,Are estimates computed with some precision,Increase,10,3,No,No,No,No,,100,70,0,0,30,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,90,,,22000000
656400,517089,2019,Shareholding company with non-traded shares or shares traded privately,0,20,1997,No,Yes,100,"Production Of Metal Doors, Tares, Safes, Cabinets.",80,55000000,100,90,48,,,,100,No,30,10,No,,,,Yes,No,No,38,,,No full-time seasonal or temporary workers,,25000000,1500000,3400000,800000,,32000000,,,5000000,Are estimates computed with some precision,Increase,15,2,No,No,No,No,,100,70,0,0,30,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,60,,,34000000
656401,517094,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2006,No,Yes,70,Pharmaceutical Retail,90,385000000,100,,,80,Square Meters,,100,No,0,0,No,,,,Yes,No,No,75,,,No full-time seasonal or temporary workers,,45000000,30000,,0,36000000,372000000,,,,Are estimates computed with some precision,Increase,1,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),100,0,0,0,0,,,,Retail trade of,,0,0,,,,,,,,,,,85,,,
656402,517102,2019,Shareholding company with non-traded shares or shares traded privately,0,100,1992,No,No,80,"Construction Of Residential And Non-Residential Buildings, Implementation Of Repair Work",90,350000000,100,,,,,,0,No,60,100,No,,,,Yes,No,No,150,,,30,6,Don't know (spontaneous),Don't know (spontaneous),,Don't know (spontaneous),,300000000,,,,Are in some case taken from books and in some case estimates,Increase,15,0,No,No,No,No,,0,40,0,0,60,0,,,,Construction of,,0,0,,,,,,,,,,,10,,,
656403,517145,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2002,No,Yes,100,Retail Sale Of Canned Fish And Seafood,80,9900000,100,,,90,Square Meters,,0,No,5,0,No,,,,Yes,No,Yes,21,,,No full-time seasonal or temporary workers,,7960000,25000,,0,1300000,9100000,,,,Are estimates computed with some precision,Increase,2,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),80,10,0,10,0,,,,Retail trade of,,0,0,,,,,,,,,,,50,,,
656404,517159,2019,Shareholding company with non-traded shares or shares traded privately,0,50,2007,No,Yes,100,"Retail Trade In Frozen Products, Alcoholic Beverages",90,60000000,100,,,90,Square Meters,,0,No,5,0,No,,,,Yes,No,Yes,12,,,No full-time seasonal or temporary workers,,6480000,15000,,Don't know (spontaneous),15000000,58000000,,,,Are estimates computed with some precision,Increase,3,Too many to count,No,No,No,No,,0,90,10,0,0,0,,,,Retail trade of,,0,0,,,,,,,,,,,65,,,
656405,517162,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2006,No,Yes,100,"Restaurant  Activities, The Provision Of Food Delivery Services",85,15500000,100,,,,,,0,No,5,0,No,,,,Yes,No,No,8,,,No full-time seasonal or temporary workers,,4320000,30000,,Don't know (spontaneous),,14000000,,,,Are estimates computed with some precision,Increase,1,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),100,0,0,0,0,,,,Hotel or restaurant,,0,0,,,,,,,,,,,50,,,
656406,517174,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2015,No,Yes,100,Manufacture Of Machinery And Equipment For Agriculture,70,9000000,100,80,48,,,,100,No,30,50,Yes,100,0,0,Yes,No,Yes,6,,,No full-time seasonal or temporary workers,,4000000,400000,3700000,Don't know (spontaneous),,15000000,500000,0,7000000,Are estimates computed with some precision,Decrease,10,4,No,No,No,No,,100,60,20,0,20,0,0,0,0,Manufacturing of ,,0,0,,,,,,0,,0,,,60,,,8500000
656407,517189,2019,Shareholding company with non-traded shares or shares traded privately,0,100,1999,No,Yes,100,Manufacture Of Perfumes And Cosmetics,80,14000000,100,90,40,,,,100,No,0,60,No,,,,Yes,No,No,23,,,No full-time seasonal or temporary workers,,7800000,400000,3000000,300000,,14700000,,,10000000,Are estimates computed with some precision,Decrease,30,3,No,No,No,No,,100,80,0,0,20,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,60,,,13000000
656408,517192,2019,Shareholding company with non-traded shares or shares traded privately,0,52,1998,Yes,Yes,100,Drug Manufacturing,100,Don't know (spontaneous),100,Don't know (spontaneous),40,,,,100,No,0,20,No,,,,No,No,No,105,,,Don't know (spontaneous),,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,110000000,,,Don't know (spontaneous),Are estimates computed with some precision,Don't know (spontaneous),,1,No,No,No,No,,100,80,0,0,20,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,Don't know (spontaneous),,,Don't know (spontaneous)
656409,517198,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2001,No,Yes,100,"Production Of Abrasive Tools (Sandpaper, Grinding Wheels, Polishing Discs)",80,25000000,100,90,48,,,,100,No,0,0,No,,,,Yes,No,No,22,,,No full-time seasonal or temporary workers,,11000000,1700000,4000000,Don't know (spontaneous),,24500000,,,4000000,Are estimates computed with some precision,Decrease,20,5,No,No,No,No,,100,100,0,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,60,,,19000000
656410,517217,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2017,No,No,50,Wholesale Trade In Electrical Equipment,Don't know (spontaneous),Don't know (spontaneous),100,,,,,,100,No,0,0,No,,,,Yes,No,No,11,,,No full-time seasonal or temporary workers,,Don't know (spontaneous),Don't know (spontaneous),,Don't know (spontaneous),,Establishment was not in business in Fiscal Year,,,,Are estimates computed with some precision,Decrease,15,2,No,No,No,No,,100,100,0,0,0,0,,,,Wholesale trade of,,0,0,,,,,,,,,,,63,,,
656411,517219,2019,Shareholding company with non-traded shares or shares traded privately,0,25,2003,No,No,100,Installation And Construction Work,95,26000000,100,,,,,,0,No,5,10,Yes,100,0,0,Yes,No,No,18,,,5,3,8640000,20000,,Don't know (spontaneous),,21000000,2000000,0,,Are estimates computed with some precision,Increase,1,Too many to count,No,No,No,No,,0,100,0,0,0,0,0,0,0,Construction of,,0,0,,,,,,0,,0,,,60,,,
656412,517238,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2014,No,Yes,100,Wholesale Of Hand Tools,70,4300000,100,,,,,,0,No,20,60,No,,,,Yes,No,No,8,,,No full-time seasonal or temporary workers,,2300000,Don't know (spontaneous),,Don't know (spontaneous),,3800000,,,,Are estimates computed with some precision,Decrease,30,2,No,No,No,No,,0,100,0,0,0,0,,,,Wholesale trade of,,0,0,,,,,,,,,,,60,,,
656413,517277,2019,Shareholding company with non-traded shares or shares traded privately,0,49,2006,No,Yes,90,Retail Trade In Medicines,90,25000000,100,,,70,Square Meters,,100,No,0,0,No,,,,Yes,No,No,35,,,No full-time seasonal or temporary workers,,12600000,10000,,0,9000000,23000000,,,,Are estimates computed with some precision,Increase,3,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),100,0,0,0,0,,,,Retail trade of,,0,0,,,,,,,,,,,70,,,
656414,517294,2019,Shareholding company with shares traded on the stock market,0,100,1973,No,Yes,100,Transportation Of Goods On Leased Non-Public Railway Tracks,Don't know (spontaneous),580000000,100,,,,,,0,No,10,5,No,,,,Yes,No,Yes,102,,,No full-time seasonal or temporary workers,,190000000,610000,,Don't know (spontaneous),,Don't know (spontaneous),,,,Are estimates computed with some precision,Decrease,5,1,No,No,No,No,,0,50,50,0,0,0,,,,Provide services of,,0,0,,,,,,,,,,,30,,,
656415,517296,2019,Shareholding company with non-traded shares or shares traded privately,0,50,2000,No,Yes,100,"Wholesale Of Car Parts, Components And Accessories",90,6500000,100,,,,,,0,No,15,10,No,,,,Yes,No,No,12,,,No full-time seasonal or temporary workers,,4000000,10000,,Don't know (spontaneous),,6000000,,,,Are estimates computed with some precision,Increase,1,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),70,20,0,10,0,,,,Provide services of,,0,0,,,,,,,,,,,75,,,
656416,517307,2019,Shareholding company with non-traded shares or shares traded privately,0,65,2002,No,Yes,75,Production Of Plastic Products,100,15644000,100,80,40,,,,0,No,0,10,No,,,,Yes,No,Yes,23,,,No full-time seasonal or temporary workers,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,13458000,,,Don't know (spontaneous),Are estimates computed with some precision,Increase,10,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),80,10,0,10,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,40,,,Don't know (spontaneous)
656417,517316,2019,Shareholding company with non-traded shares or shares traded privately,0,80,2003,No,Yes,80,"Production Of Radar, Radio Navigation Equipment And Remote Radio Equipment",100,216527000,100,90,40,,,,0,No,0,15,No,,,,Yes,No,No,48,,,No full-time seasonal or temporary workers,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,206985000,,,Don't know (spontaneous),Are estimates computed with some precision,Increase,10,Don't know (spontaneous),No,No,No,No,,Does not apply is a floor in a building (spontaneous),85,0,0,15,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,40,,,Don't know (spontaneous)
656418,517352,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2004,No,No,60,Wholesale Of Aluminum Composite Panels,100,76714000,100,,,,,,0,No,10,20,No,,,,Yes,No,No,7,,,No full-time seasonal or temporary workers,,2940000,36000,,960000,,76180000,,,,Are estimates computed with some precision,Increase,7,Don't know (spontaneous),No,No,No,No,,Does not apply is a floor in a building (spontaneous),70,0,0,30,0,,,,Wholesale trade of,,0,0,,,,,,,,,,,50,,,
656419,517363,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2004,No,No,70,"Retail Sale Of Food Products, Including Drinks And Tobacco Products",100,18584000,100,,,300,Square Meters,,0,No,15,0,No,,,,Yes,No,No,21,,,5,6,7600000,Don't know (spontaneous),,Don't know (spontaneous),Don't know (spontaneous),16318000,,,,Are estimates computed with some precision,Increase,10,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),85,0,0,15,0,,,,Retail trade of,,0,0,,,,,,,,,,,40,,,
656420,517374,2019,Shareholding company with non-traded shares or shares traded privately,0,Don't know (spontaneous),2004,No,Yes,90,"Manufacture Of Corrugated Paper And Paperboard, Paper And Cardboard Packaging",100,Don't know (spontaneous),100,90,40,,,,0,No,0,15,No,,,,Yes,Yes,No,20,,,No full-time seasonal or temporary workers,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,Don't know (spontaneous),,,Don't know (spontaneous),Are estimates computed with some precision,Increase,5,13,No,No,No,No,,0,85,0,0,15,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,Don't know (spontaneous),,,Don't know (spontaneous)
656421,517376,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2013,No,Yes,60,Wholesale Trade Of Auto Chemical Goods,100,48700000,100,,,,,,0,No,0,10,No,,,,Yes,No,No,6,,,5,6,2520000,50000,,960000,,48000000,,,,Are estimates computed with some precision,Increase,5,Don't know (spontaneous),No,No,No,No,,0,90,0,0,10,0,,,,Provide services of,,0,0,,,,,,,,,,,50,,,
656422,517603,2019,Shareholding company with non-traded shares or shares traded privately,0,33,2004,No,Yes,100,"Printing, Providing Of Printing Services",85,130000000,50,95,40,,,,100,No,0,0,No,,,,Yes,No,No,107,,,No full-time seasonal or temporary workers,,51360000,327000,6000000,360000,,34000000,,,12000000,Are estimates computed with some precision,Increase,25,Too many to count,No,No,No,No,,100,70,0,0,30,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,60,,,58047000
656423,517604,2019,Shareholding company with non-traded shares or shares traded privately,0,50,2002,No,Yes,60,"Printing Of Newspapers, Magazines",100,38224000,100,80,40,,,,0,No,0,0,No,,,,Yes,No,No,30,,,No full-time seasonal or temporary workers,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,37951000,,,Don't know (spontaneous),Are estimates computed with some precision,Increase,10,20,No,No,No,No,,Does not apply is a floor in a building (spontaneous),100,0,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,50,,,Don't know (spontaneous)
656424,517609,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2005,No,No,80,Manufacturing Of Plastic Products,80,24000000,50,90,40,,,,100,No,0,0,Yes,70,30,0,Yes,No,No,65,,,No full-time seasonal or temporary workers,,20300000,210000,1100000,150000,,17000000,3000000,0,4300000,Are estimates computed with some precision,Increase,20,3,No,No,No,No,,100,70,0,0,30,0,0,0,0,Manufacturing of ,,0,0,,,,,,0,,0,,,50,,,23000000
656425,517613,2019,Shareholding company with non-traded shares or shares traded privately,0,29,1999,No,Yes,100,Production Of Dry Concrete Mixes,70,8500000,70,80,40,,,,100,No,0,0,Yes,60,30,10,Yes,No,No,10,,,No full-time seasonal or temporary workers,,6000000,160000,1700000,140000,,11000000,700000,0,4000000,Are estimates computed with some precision,Decrease,15,1,No,No,No,No,,100,70,0,0,30,0,0,0,0,Manufacturing of ,,0,0,,,,,,0,,0,,,70,,,8000000
656426,517616,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2009,No,Yes,100,Production Of Building Metal Structures And Products,70,250000000,50,100,40,,,,100,No,0,0,No,,,,Yes,No,No,53,,,No full-time seasonal or temporary workers,,35000000,400000,10000000,Don't know (spontaneous),,127000000,,,5000000,Are estimates computed with some precision,Increase,20,5,No,No,No,No,,100,80,0,0,20,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,50,,,46000000
656427,517617,2019,Shareholding company with non-traded shares or shares traded privately,0,100,1992,No,Yes,100,Metal Working And Coating,90,175000000,50,90,40,,,,100,No,0,0,No,,,,Yes,No,No,95,,,No full-time seasonal or temporary workers,,58000000,400000,20000000,Don't know (spontaneous),,132000000,,,13000000,Are estimates computed with some precision,Increase,20,4,No,No,No,No,,100,100,0,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,50,,,80000000
656429,517621,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2008,No,Yes,50,Providing Services Of Repair Of Downhole Pumping Equipment,80,380000000,100,90,40,,,,100,No,0,0,No,,,,Yes,No,No,401,,,No full-time seasonal or temporary workers,,240600000,316000,8000000,374000,,397000000,,,8000000,Are estimates computed with some precision,Stay the same,,4,No,No,No,No,,100,70,0,0,30,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,60,,,250700000
